City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
540,Biak,ID,77.54,overcast clouds,-0.91,122.88,Kost Ariz
545,Caetite,BR,77.52,moderate rain,-14.07,-42.48,Hotel Porto do Sol
551,Palembang,ID,76.05,overcast clouds,-2.92,104.75,ASTON Palembang Hotel & Conference Center
552,Cabedelo,BR,87.8,broken clouds,-6.98,-34.83,Lua Mansa Pousada
554,Puerto Escondido,MX,84.58,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
562,Libreville,GA,84.2,few clouds,0.39,9.45,Hotel Re-Ndama
568,Ratnagiri,IN,80.17,few clouds,16.98,73.3,Hotel Landmark
572,Acapulco,MX,80.6,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
574,Palmira,CO,82.0,haze,3.54,-76.3,Hotel Las Victorias
578,Veraval,IN,80.47,clear sky,20.9,70.37,Lords Inn Somnath
580,Sharjah,AE,84.2,clear sky,25.36,55.4,Swiss Belhotel Sharjah
582,Kavaratti,IN,83.75,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
583,La Reforma,MX,81.0,clear sky,25.08,-108.05,Arremar Angostura
584,Soyo,AO,82.4,scattered clouds,-6.13,12.37,Hotel Mpampa
585,Dovers,VC,82.96,scattered clouds,12.88,-61.18,Ocean Breeze
587,San Policarpo,PH,75.65,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
590,Manokwari,ID,80.38,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
591,Roebourne,AU,77.72,clear sky,-20.78,117.13,Harding River Caravan Park
593,San Rafael,AR,78.58,clear sky,-34.62,-68.33,Hotel San Rafael
597,Kirakira,SB,78.69,broken clouds,-10.45,161.92,SanBiz Lodge
607,Port Keats,AU,84.94,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
615,Mahibadhoo,MV,84.29,moderate rain,3.78,72.97,Omadhoo Inn
617,Bintulu,MY,78.8,few clouds,3.17,113.03,900 Boutique INN
618,Quelimane,MZ,89.6,clear sky,-17.88,36.89,Hotel Flamingo
620,Acarau,BR,88.0,broken clouds,-2.89,-40.12,castelo pizzaria
621,Catamarca,AR,89.01,clear sky,-28.47,-65.79,Amerian Catamarca Park Hotel
622,Barreiras,BR,86.05,light rain,-12.15,-44.99,Hotel Solar das Mangueiras - Barreiras
629,Nkhata Bay,MW,82.65,clear sky,-11.61,34.29,Mayoka Village
631,Tautira,PF,75.2,few clouds,-17.73,-149.15,Pension Oaoa
640,Nanga Eboko,CM,80.37,broken clouds,4.68,12.37,Akila Hotel
645,Maragogi,BR,82.63,scattered clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
646,Mogadishu,SO,80.92,scattered clouds,2.04,45.34,Hotel Juba
649,Namibe,AO,78.8,few clouds,-15.2,12.15,Hotel Chik Chik Namibe
650,Pangkalanbuun,ID,75.42,scattered clouds,-2.68,111.62,Grand Kecubung Hotel
652,Tibati,CM,80.96,overcast clouds,6.47,12.63,Tibati Hotel
654,Jacqueville,CI,84.2,scattered clouds,5.21,-4.41,Hotel Le Martin Pecheur
656,Poso,ID,77.52,moderate rain,-1.4,120.75,Hotel 77 Poso
657,Sao Felix Do Xingu,BR,88.79,broken clouds,-6.64,-51.99,Apart Hotel Rio Xingu
659,Manggar,ID,80.8,overcast clouds,-2.88,108.27,Guest Hotel
660,Conde,BR,87.8,broken clouds,-7.26,-34.91,Pousada Beija Flor
661,Kanniyakumari,IN,83.03,clear sky,8.08,77.57,Sparsa
663,Nouadhibou,MR,78.8,few clouds,20.93,-17.03,El Medina
664,Umm Lajj,SA,76.78,clear sky,25.02,37.27,Moon light Furnished Units
668,Lupiro,TZ,85.82,broken clouds,-8.38,36.67,AFRICAN JACCANA EXECUTIVE LODGE
671,Nabire,ID,77.07,light rain,-3.37,135.48,Hotel Nusantara Nabire
673,Burgersdorp,ZA,77.49,clear sky,-31.0,26.33,DeKat Self Catering
676,Keningau,MY,78.8,few clouds,5.34,116.16,Sabindo Hotel
