City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
211,Ribeira Grande,PT,38.52,-28.7,62.6,72,20,13.87,few clouds
212,Kannur,IN,11.87,75.36,82.4,83,20,1.12,mist
213,Meulaboh,ID,4.14,96.13,77.5,82,99,2.06,moderate rain
214,Noumea,NC,-22.28,166.46,68.0,88,20,2.24,few clouds
215,Sovetskiy,RU,61.36,63.58,32.9,97,100,4.12,overcast clouds
216,Tangier,MA,35.78,-5.81,69.8,68,40,6.93,scattered clouds
217,Pyu,MM,18.48,96.43,74.59,94,0,5.14,clear sky
218,Nacala,MZ,-14.54,40.67,80.6,78,40,17.22,scattered clouds
219,Caceres,ES,39.52,-6.37,64.0,66,46,3.0,scattered clouds
220,Saint George,US,37.1,-113.58,62.6,29,1,8.05,clear sky
221,Sabha,LY,27.04,14.43,70.12,32,14,7.74,few clouds
222,Beloha,MG,-25.17,45.05,75.67,61,0,5.91,clear sky
223,Faya,SA,18.39,42.45,66.2,68,40,8.05,scattered clouds
224,El Alto,PE,-4.27,-81.21,73.4,64,75,6.93,broken clouds
225,Bethel,US,41.37,-73.41,69.01,48,1,4.7,clear sky
226,Constitucion,CL,-35.33,-72.42,67.66,48,0,13.62,clear sky
227,Port Augusta,AU,-32.5,137.77,55.4,87,0,5.82,clear sky
228,La Tijera,MX,19.9,-104.4,68.34,55,27,2.06,scattered clouds
229,Ilabaya,PE,-17.42,-70.51,77.59,23,2,10.89,clear sky
230,Port-Gentil,GA,-0.72,8.78,80.6,88,40,14.99,scattered clouds
231,Staraya Poltavka,RU,50.48,46.48,40.91,84,100,12.66,overcast clouds
232,Codrington,AU,-38.27,141.97,40.6,92,5,5.95,clear sky
233,Sivas,TR,39.79,37.0,35.6,72,40,11.41,scattered clouds
234,Caravelas,BR,-17.71,-39.25,85.1,59,19,8.01,few clouds
235,Meadow Lake,US,34.8,-106.54,66.0,32,75,3.36,broken clouds
236,Kavieng,PG,-2.57,150.8,82.53,68,53,8.68,broken clouds
237,Minsk,BY,53.9,27.57,48.2,100,90,6.71,overcast clouds
238,Eyl,SO,7.98,49.82,78.24,80,0,16.73,clear sky
239,Hamilton,US,39.18,-84.53,66.0,62,1,3.36,clear sky
240,Pangnirtung,CA,66.15,-65.71,12.2,85,75,6.93,light snow
241,Harper,LR,4.38,-7.72,81.66,80,71,6.15,light rain
242,Lufilufi,WS,-13.87,-171.6,77.0,94,75,3.36,broken clouds
243,Tual,ID,-5.67,132.75,82.35,74,79,12.59,broken clouds
244,Sens,FR,48.17,3.33,57.99,75,71,4.56,broken clouds
245,Marsaxlokk,MT,35.84,14.54,68.0,72,20,11.41,few clouds
246,Ahipara,NZ,-35.17,173.17,62.22,90,63,13.71,broken clouds
247,Roura,GF,4.73,-52.33,89.6,59,75,6.93,broken clouds
248,Pevek,RU,69.7,170.31,18.09,97,100,2.01,overcast clouds
249,Xuddur,SO,4.12,43.89,77.49,74,30,9.17,light rain
250,Samarai,PG,-10.62,150.67,80.73,83,35,7.92,scattered clouds
251,Haines Junction,CA,60.75,-137.51,-22.0,74,0,1.12,clear sky
252,Vostok,RU,46.49,135.88,21.96,99,88,2.64,overcast clouds
253,Morgan City,US,29.7,-91.21,75.99,83,75,10.29,broken clouds
254,Shingu,JP,33.73,135.98,66.49,90,100,4.56,light rain
255,Hay River,CA,60.82,-115.8,-7.6,76,100,4.7,overcast clouds
256,Launceston,AU,-41.45,147.17,41.0,80,0,5.82,clear sky
257,Leningradskiy,RU,69.38,178.42,21.51,96,100,14.38,light snow
258,Kralendijk,BQ,12.15,-68.27,87.8,70,40,8.05,scattered clouds
259,Svetlyy,RU,54.67,20.13,48.2,93,90,6.71,overcast clouds
260,Coalinga,US,36.14,-120.36,46.0,87,100,8.14,overcast clouds
261,Prainha,BR,-1.8,-53.48,87.96,58,78,4.88,broken clouds
262,Karema,TZ,-6.82,30.44,79.02,68,22,6.8,few clouds
263,Katsuura,JP,35.13,140.3,71.6,88,75,13.87,light rain
264,Sistranda,NO,63.73,8.83,44.6,87,75,6.93,shower rain
265,Taltal,CL,-25.4,-70.48,64.89,63,15,5.3,few clouds
266,Port Hedland,AU,-20.32,118.57,78.8,74,0,8.05,clear sky
267,Cidreira,BR,-30.18,-50.21,71.13,72,11,14.92,few clouds
268,Helena,US,46.59,-112.04,39.99,86,90,1.28,overcast clouds
269,Sobolevo,RU,54.43,31.9,45.46,92,0,8.41,clear sky
270,Fort Nelson,CA,58.81,-122.7,-2.2,77,75,2.24,broken clouds
271,Sarangani,PH,5.4,125.46,82.22,78,100,10.27,overcast clouds
272,Ormara,PK,25.21,64.64,76.98,60,0,8.03,clear sky
273,Kargil,IN,34.57,76.1,30.11,66,0,2.93,clear sky
274,Raga,SS,8.46,25.68,81.82,33,12,3.91,few clouds
275,Pauini,BR,-7.71,-66.98,97.95,35,56,4.88,broken clouds
276,Ayan,RU,56.45,138.17,13.53,85,93,16.4,overcast clouds
277,Matamoros,MX,25.53,-103.25,59.0,38,5,4.7,clear sky
278,Hami,CN,42.8,93.45,37.08,72,58,1.5,broken clouds
279,Dawei,MM,14.08,98.2,75.02,82,2,5.53,clear sky
280,Eureka,US,40.8,-124.16,45.0,94,50,8.12,scattered clouds
281,Khandyga,RU,62.67,135.6,-8.1,88,100,0.72,overcast clouds
282,Baie-Comeau,CA,49.22,-68.15,41.0,56,90,8.05,overcast clouds
283,Sao Filipe,CV,14.9,-24.5,79.97,78,100,8.52,overcast clouds
284,Khromtau,KZ,50.25,58.43,36.88,96,100,14.7,light rain
285,Houma,US,29.6,-90.72,73.99,88,75,11.41,broken clouds
286,Alberton,CA,46.82,-64.07,57.2,76,100,16.11,overcast clouds
287,Taian,CN,36.19,117.12,57.99,38,0,6.51,clear sky
288,Mount Gambier,AU,-37.83,140.77,43.0,89,1,6.33,clear sky
289,Teluk Nibung,ID,3.0,99.82,78.71,86,100,4.14,overcast clouds
290,Harqalah,TN,36.03,10.51,69.8,56,0,11.41,clear sky
291,Bichena,ET,10.45,38.2,58.68,71,96,6.33,overcast clouds
292,Salalah,OM,17.02,54.09,80.6,57,0,3.36,clear sky
293,Saint-Pierre,RE,-21.34,55.48,77.0,69,90,2.24,overcast clouds
294,Dingtao,CN,35.07,115.56,54.21,36,0,3.49,clear sky
295,Hovd,MN,48.01,91.64,29.01,88,1,1.21,clear sky
296,Henties Bay,NA,-22.12,14.28,64.99,80,0,7.0,clear sky
297,San Gabriel,US,34.1,-118.11,54.0,81,75,4.7,broken clouds
298,Kibala,TD,9.11,18.35,95.0,32,0,1.95,clear sky
299,Jijiga,ET,9.35,42.8,68.99,64,77,1.63,light rain
300,Nome,US,64.5,-165.41,37.4,86,90,14.99,overcast clouds
301,Mar Del Plata,AR,-38.0,-57.56,75.2,53,20,6.93,few clouds
302,Quatre Cocos,MU,-20.21,57.76,73.99,83,40,8.05,smoke
303,Dunmore East,IE,52.15,-6.99,55.0,87,75,12.75,broken clouds
304,Russell,US,32.35,-85.2,69.8,83,90,9.17,overcast clouds
305,Sawtell,AU,-30.38,153.1,60.8,77,90,11.41,overcast clouds
306,Selam,IN,11.65,78.17,74.25,87,0,4.88,clear sky
307,Santiago,CL,-33.46,-70.65,89.01,27,0,3.36,clear sky
308,Faanui,PF,-16.48,-151.75,78.82,77,0,10.42,clear sky
309,Lebedinyy,RU,58.52,125.52,-8.19,92,100,5.61,overcast clouds
310,Gisborne,NZ,-38.65,178.0,64.99,78,87,1.99,overcast clouds
311,Panubigan,PH,7.43,123.35,76.41,89,100,5.73,overcast clouds
312,Vardo,NO,70.37,31.11,35.6,73,40,19.46,scattered clouds
313,Badarwas,IN,24.97,77.57,66.16,27,0,1.9,clear sky
314,Tabas,IR,33.6,56.92,69.8,13,72,4.7,broken clouds
315,High Level,CA,58.52,-117.14,-2.2,91,90,4.12,overcast clouds
316,Niquero,CU,20.04,-77.58,74.64,90,100,11.1,heavy intensity rain
317,Souillac,MU,-20.52,57.52,73.4,83,40,8.05,smoke
318,Richards Bay,ZA,-28.78,32.04,74.8,80,0,9.08,clear sky
319,Hanmer Springs,NZ,-42.52,172.82,48.2,86,100,6.33,moderate rain
320,Pierre,US,44.37,-100.35,39.2,86,1,6.93,clear sky
321,Price,US,39.6,-110.81,51.8,57,90,10.29,overcast clouds
322,Turukhansk,RU,65.82,87.98,16.25,97,100,16.75,light snow
323,Epinal,FR,48.18,6.45,57.2,67,0,3.36,clear sky
324,Gilgit,PK,35.92,74.31,52.68,32,0,3.02,clear sky
325,Silca,HN,14.83,-86.53,80.6,78,40,4.7,scattered clouds
326,Kampot,KH,10.62,104.18,78.8,88,40,1.12,scattered clouds
327,Omboue,GA,-1.57,9.26,79.21,84,92,11.88,overcast clouds
328,Anadyr,RU,64.75,177.48,19.4,92,75,2.24,light snow
329,Sorong,ID,-0.88,131.25,80.4,85,88,12.37,overcast clouds
330,Yar-Sale,RU,66.83,70.83,28.18,99,93,4.94,overcast clouds
331,Kidal,ML,18.44,1.41,90.14,11,6,15.05,clear sky
332,Kashiwazaki,JP,37.37,138.55,57.99,94,94,17.22,overcast clouds
333,Thohoyandou,ZA,-22.95,30.48,91.49,27,39,1.48,scattered clouds
334,Canning,IN,22.32,88.67,71.6,64,0,3.36,haze
335,Lilongwe,MW,-13.97,33.79,87.8,10,0,12.75,clear sky
336,Stuttgart,DE,48.78,9.18,52.0,71,40,1.12,scattered clouds
337,Haukipudas,FI,65.18,25.35,44.6,63,0,20.8,clear sky
338,Tilichiki,RU,60.47,166.1,19.65,95,1,7.07,clear sky
339,Vetlanda,SE,57.43,15.08,50.0,93,93,8.05,overcast clouds
340,Pisco,PE,-13.7,-76.22,64.4,82,90,9.17,overcast clouds
341,Lodwar,KE,3.12,35.6,89.19,39,100,14.32,overcast clouds
342,Uyuni,BO,-20.46,-66.83,62.87,29,83,7.23,broken clouds
343,Wanning,CN,18.8,110.4,72.12,79,0,8.57,clear sky
344,Lancaster,US,40.25,-76.25,66.0,59,1,5.82,clear sky
345,Maua,BR,-23.67,-46.46,77.0,50,0,6.93,clear sky
